Details of the Performance of the Portfolio : ,out/BollingerRelWeakness_20.0_2.0_vs_$SPX_1.0_event_on_sp5002012_perfom_summary.csv
Date Range : ,2008-02-26 16:00:00 to 2009-12-30 16:00:00
Transactions : ,532
Sharpe Ratio of Fund : ,0.630159584364 
Sharpe Ratio of $SPX : ,-0.130290053616
Total Return of Fund : ,1.062
Total Return of $SPX : ,0.815484076479
Standard Deviation of Fund : ,0.0033889884174
Standard Deviation of $SPX : ,0.022459611806
Average Daily Return of Fund : ,0.000134530377288
Average Daily Return of $SPX : ,-0.000184337306771
Initial Value of Fund : ,100000
Final Value of Fund : ,106200
