Details of the Performance of the Portfolio : ,out/BollingerRelWeakness_20.0_2_vs_$SPX_1.0_event_on_sp5002012_perfom_summary.csv
Date Range : ,2008-02-26 16:00:00 to 2009-12-03 16:00:00
Transactions : ,510
Sharpe Ratio of Fund : ,0.638315350778 
Sharpe Ratio of $SPX : ,-0.170325448986
Total Return of Fund : ,1.06135
Total Return of $SPX : ,0.7962991117
Standard Deviation of Fund : ,0.00344493478666
Standard Deviation of $SPX : ,0.0228748730809
Average Daily Return of Fund : ,0.000138521129301
Average Daily Return of $SPX : ,-0.000245435830881
Initial Value of Fund : ,100000
Final Value of Fund : ,106135
