Details of the Performance of the Portfolio : ,out/BollingerRelWeakness_20.0_2_vs_SPY_1.0_event_on_sp5002012_perfom_summary.csv
Date Range : ,2008-02-25 16:00:00 to 2009-12-03 16:00:00
Transactions : ,556
Sharpe Ratio of Fund : ,0.807702903229 
Sharpe Ratio of SPY : ,-0.0924899994005
Total Return of Fund : ,1.08136
Total Return of SPY : ,0.837645743491
Standard Deviation of Fund : ,0.00353903702766
Standard Deviation of SPY : ,0.0228648040122
Average Daily Return of Fund : ,0.000180067974764
Average Daily Return of SPY : ,-0.000133217717814
Initial Value of Fund : ,100000
Final Value of Fund : ,108136
