Details of the Performance of the Portfolio : ,out/UnderThreshold_9.0_$_event_on_sp5002012_perfom_summary.csv
Date Range : ,2008-01-04 16:00:00 to 2009-12-15 16:00:00
Transactions : ,916
Sharpe Ratio of Fund : ,0.75620475544 
Sharpe Ratio of $SPX : ,-0.176588762029
Total Return of Fund : ,1.2398
Total Return of $SPX : ,0.784858638595
Standard Deviation of Fund : ,0.0102719870762
Standard Deviation of $SPX : ,0.0221622835459
Average Daily Return of Fund : ,0.000489320710931
Average Daily Return of $SPX : ,-0.000246534270419
