source	source_val	target	target_val	value
1000 Years for Revenge	n	Bush vs. the Beltway	c	1
1000 Years for Revenge	n	Charlie Wilson's War	c	1
1000 Years for Revenge	n	Losing Bin Laden	c	1
1000 Years for Revenge	n	Sleeping With the Devil	n	1
1000 Years for Revenge	n	The Man Who Warned America	c	1
1000 Years for Revenge	n	Why America Slept	n	1
Bush vs. the Beltway	c	Losing Bin Laden	c	1
Bush vs. the Beltway	c	The Man Who Warned America	c	1
Bush vs. the Beltway	c	Why America Slept	n	1
Charlie Wilson's War	c	Sleeping With the Devil	n	1
Charlie Wilson's War	c	The Man Who Warned America	c	1
Charlie Wilson's War	c	Ghost Wars	n	1
Losing Bin Laden	c	The Man Who Warned America	c	1
Losing Bin Laden	c	A National Party No More	c	1
Losing Bin Laden	c	Bush Country	c	1
Losing Bin Laden	c	Dereliction of Duty	c	1
Losing Bin Laden	c	Legacy	c	1
Losing Bin Laden	c	Off with Their Heads	c	1
Losing Bin Laden	c	Persecution	c	1
Losing Bin Laden	c	Rumsfeld's War	c	1
Losing Bin Laden	c	Breakdown	c	1
Losing Bin Laden	c	Betrayal	c	1
Losing Bin Laden	c	Shut Up and Sing	c	1
Losing Bin Laden	c	Meant To Be	n	1
Losing Bin Laden	c	The Right Man	c	1
Losing Bin Laden	c	Ten Minutes from Normal	c	1
Losing Bin Laden	c	Hillary's Scheme	c	1
Losing Bin Laden	c	The French Betrayal of America	c	1
Losing Bin Laden	c	Tales from the Left Coast	c	1
Losing Bin Laden	c	Hating America	c	1
Losing Bin Laden	c	The Third Terrorist	c	1
Losing Bin Laden	c	Endgame	c	1
Losing Bin Laden	c	Spin Sisters	c	1
Sleeping With the Devil	n	The Man Who Warned America	c	1
Sleeping With the Devil	n	Why America Slept	n	1
Sleeping With the Devil	n	All the Shah's Men	n	1
Sleeping With the Devil	n	Dangerous Dimplomacy	c	1
Sleeping With the Devil	n	The Price of Loyalty	l	1
Sleeping With the Devil	n	House of Bush, House of Saud	l	1
The Man Who Warned America	c	Why America Slept	n	1
The Man Who Warned America	c	Ghost Wars	n	1
Why America Slept	n	Ghost Wars	n	1
Why America Slept	n	Dereliction of Duty	c	1
Why America Slept	n	Off with Their Heads	c	1
Why America Slept	n	Meant To Be	n	1
Why America Slept	n	The French Betrayal of America	c	1
Why America Slept	n	The Third Terrorist	c	1
Why America Slept	n	Dangerous Dimplomacy	c	1
Ghost Wars	n	Rumsfeld's War	c	1
Ghost Wars	n	The Price of Loyalty	l	1
Ghost Wars	n	Rise of the Vulcans	c	1
Ghost Wars	n	Against All Enemies	l	1
Ghost Wars	n	Disarming Iraq	l	1
A National Party No More	c	Bush Country	c	1
A National Party No More	c	Dereliction of Duty	c	1
A National Party No More	c	Legacy	c	1
A National Party No More	c	Off with Their Heads	c	1
A National Party No More	c	Persecution	c	1
A National Party No More	c	Rumsfeld's War	c	1
A National Party No More	c	Ten Minutes from Normal	c	1
A National Party No More	c	Hillary's Scheme	c	1
A National Party No More	c	The French Betrayal of America	c	1
A National Party No More	c	Tales from the Left Coast	c	1
A National Party No More	c	Hating America	c	1
A National Party No More	c	Endgame	c	1
A National Party No More	c	Spin Sisters	c	1
A National Party No More	c	The Death of Right and Wrong	c	1
A National Party No More	c	Useful Idiots	c	1
A National Party No More	c	Let Freedom Ring	c	1
A National Party No More	c	Bias	c	1
A National Party No More	c	Deliver Us from Evil	c	1
A National Party No More	c	Give Me a Break	c	1
A National Party No More	c	The Enemy Within	c	1
A National Party No More	c	The Real America	c	1
A National Party No More	c	Who's Looking Out for You?	c	1
A National Party No More	c	The Official Handbook Vast Right Wing Conspiracy	c	1
A National Party No More	c	Power Plays	n	1
Bush Country	c	Legacy	c	1
Bush Country	c	Off with Their Heads	c	1
Bush Country	c	Rumsfeld's War	c	1
Bush Country	c	Ten Minutes from Normal	c	1
Bush Country	c	Hating America	c	1
Bush Country	c	Spin Sisters	c	1
Bush Country	c	Give Me a Break	c	1
Bush Country	c	The Official Handbook Vast Right Wing Conspiracy	c	1
Bush Country	c	Arrogance	c	1
Bush Country	c	The Perfect Wife	n	1
Bush Country	c	The Bushes	c	1
Bush Country	c	Things Worth Fighting For	c	1
Bush Country	c	Surprise, Security, the American Experience	n	1
